               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10469,             0.00457,            0.028305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.083654,          0.00024892,          0.00024892
                   1,            0.070463,           0.0040383,            0.010599,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.067228,          0.00048944,          0.00048944
                   2,            0.064193,           0.0033059,           0.0035152,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050793,          0.00072046,          0.00072046
                   3,            0.058197,           0.0025773,            0.001843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.034347,          0.00094198,          0.00094198
                   4,            0.056774,           0.0021873,           0.0015388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017893,            0.001154,            0.001154
                   5,            0.052649,           0.0018862,           0.0012746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014287,           0.0013565,           0.0013565
                   6,            0.051978,           0.0016355,           0.0010293,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   7,            0.046317,           0.0013564,          0.00077589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   8,            0.048386,           0.0013365,          0.00072878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013005,           0.0013005,           0.0013005
                   9,            0.045366,           0.0012428,          0.00080819,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001272,            0.001272,            0.001272
                  10,            0.042416,           0.0011349,          0.00055096,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012435,           0.0012435,           0.0012435
                  11,            0.042388,            0.001101,           0.0005475,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001215,            0.001215,            0.001215
                  12,            0.040142,            0.001047,          0.00049312,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011865,           0.0011865,           0.0011865
                   0,             0.10469,             0.00457,            0.028305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.083654,          0.00024892,          0.00024892
                   1,            0.070463,           0.0040383,            0.010599,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.067228,          0.00048944,          0.00048944
                   2,            0.064193,           0.0033059,           0.0035152,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050793,          0.00072046,          0.00072046
                   3,            0.058197,           0.0025773,            0.001843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.034347,          0.00094198,          0.00094198
                   4,            0.056774,           0.0021873,           0.0015388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017893,            0.001154,            0.001154
                   5,            0.052649,           0.0018862,           0.0012746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014287,           0.0013565,           0.0013565
                   6,            0.051978,           0.0016355,           0.0010293,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   7,            0.046317,           0.0013564,          0.00077589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   8,            0.048386,           0.0013365,          0.00072878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013005,           0.0013005,           0.0013005
                   9,            0.045366,           0.0012428,          0.00080819,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001272,            0.001272,            0.001272
                  10,            0.042416,           0.0011349,          0.00055096,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012435,           0.0012435,           0.0012435
                  11,            0.042388,            0.001101,           0.0005475,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001215,            0.001215,            0.001215
                  12,            0.040142,            0.001047,          0.00049312,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011865,           0.0011865,           0.0011865
                  13,            0.041315,           0.0011141,          0.00054526,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001158,            0.001158,            0.001158
                  14,            0.039868,             0.00104,          0.00046929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011295,           0.0011295,           0.0011295
                  15,            0.038805,           0.0010225,          0.00038659,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001101,            0.001101,            0.001101
                  16,             0.03775,          0.00094583,          0.00045386,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010725,           0.0010725,           0.0010725
                  17,            0.036651,          0.00093781,           0.0003932,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001044,            0.001044,            0.001044
                  18,            0.037172,           0.0009629,          0.00035284,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010155,           0.0010155,           0.0010155
                  19,            0.036565,          0.00093356,          0.00030863,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000987,            0.000987,            0.000987
                  20,            0.035281,          0.00089659,          0.00035663,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009585,           0.0009585,           0.0009585
                  21,            0.035491,          0.00090091,           0.0003053,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00093,             0.00093,             0.00093
                  22,             0.03398,          0.00086077,          0.00029123,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009015,           0.0009015,           0.0009015
                  23,            0.034091,          0.00087151,          0.00040178,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000873,            0.000873,            0.000873
                  24,            0.033421,          0.00085461,          0.00027208,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008445,           0.0008445,           0.0008445
                  25,              0.0325,          0.00081999,          0.00026648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000816,            0.000816,            0.000816
                  26,            0.032009,          0.00082272,          0.00025084,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007875,           0.0007875,           0.0007875
                  27,            0.032003,          0.00083007,          0.00026048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000759,            0.000759,            0.000759
                  28,            0.031557,          0.00080959,          0.00026074,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007305,           0.0007305,           0.0007305
                  29,             0.03012,          0.00078542,          0.00022911,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000702,            0.000702,            0.000702
                  30,             0.02986,           0.0007846,          0.00023864,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006735,           0.0006735,           0.0006735
                  31,            0.029649,          0.00078005,          0.00022396,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000645,            0.000645,            0.000645
                  32,             0.02899,          0.00077132,          0.00024771,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006165,           0.0006165,           0.0006165
                  33,            0.027559,          0.00073368,          0.00021909,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000588,            0.000588,            0.000588
                  34,            0.027542,          0.00072101,          0.00018897,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0005595,           0.0005595,           0.0005595
                  35,            0.025765,          0.00072349,          0.00019247,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000531,            0.000531,            0.000531
                  36,            0.025706,           0.0007085,          0.00020612,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0005025,           0.0005025,           0.0005025
                  37,            0.024757,           0.0007068,          0.00019381,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000474,            0.000474,            0.000474
                  38,             0.02427,          0.00068328,          0.00017101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0004455,           0.0004455,           0.0004455
                  39,            0.023812,          0.00068613,          0.00018092,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000417,            0.000417,            0.000417
                  40,            0.023253,            0.000696,          0.00019456,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0003885,           0.0003885,           0.0003885
                  41,            0.022072,          0.00066469,          0.00016689,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00036,             0.00036,             0.00036
                  42,            0.021233,          0.00065485,           0.0001528,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0003315,           0.0003315,           0.0003315
                  43,            0.020353,          0.00064876,          0.00015432,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000303,            0.000303,            0.000303
                  44,            0.019226,          0.00063003,          0.00014392,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0002745,           0.0002745,           0.0002745
                  45,            0.018635,          0.00061692,          0.00013537,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000246,            0.000246,            0.000246
                  46,            0.017718,          0.00061398,          0.00012524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0002175,           0.0002175,           0.0002175
                  47,            0.016225,          0.00059273,          0.00012585,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000189,            0.000189,            0.000189
                  48,            0.015753,           0.0005884,          0.00011936,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0001605,           0.0001605,           0.0001605
                  49,            0.014364,          0.00057266,          0.00011306,                   0,                   0,                   0,                   0,             0.22856,           0.0050056,            0.016525,            0.000132,            0.000132,            0.000132
                   0,             0.10396,           0.0063201,            0.031602,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.083666,          0.00024874,          0.00024874
                   1,            0.066508,           0.0055156,            0.027973,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.06724,          0.00048926,          0.00048926
                   2,             0.06356,           0.0041954,            0.012931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050804,          0.00072029,          0.00072029
                   3,            0.061565,           0.0028685,           0.0066321,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.034359,          0.00094181,          0.00094181
                   4,            0.060316,           0.0023343,           0.0038921,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017905,           0.0011538,           0.0011538
                   5,            0.059689,           0.0023436,           0.0032349,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014405,           0.0013564,           0.0013564
                   6,            0.057556,           0.0021957,           0.0029782,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   7,            0.055285,           0.0020448,           0.0026905,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   8,            0.050662,           0.0018818,           0.0018878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013005,           0.0013005,           0.0013005
                   9,            0.049672,           0.0017846,           0.0020405,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001272,            0.001272,            0.001272
                  10,            0.047185,           0.0017353,           0.0012561,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012435,           0.0012435,           0.0012435
                  11,            0.046682,           0.0016466,           0.0013091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001215,            0.001215,            0.001215
                  12,            0.046756,           0.0017013,           0.0018532,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011865,           0.0011865,           0.0011865
                  13,            0.048094,           0.0017208,           0.0022058,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001158,            0.001158,            0.001158
                  14,            0.047018,           0.0016925,           0.0016231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011295,           0.0011295,           0.0011295
                  15,            0.044151,           0.0015359,          0.00067359,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001101,            0.001101,            0.001101
                  16,            0.042457,           0.0015129,          0.00080741,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010725,           0.0010725,           0.0010725
                  17,            0.042792,           0.0015391,          0.00066517,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001044,            0.001044,            0.001044
                  18,            0.041647,           0.0015605,          0.00091819,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010155,           0.0010155,           0.0010155
                  19,            0.042988,           0.0015524,           0.0014668,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000987,            0.000987,            0.000987
                  20,            0.042057,           0.0014686,          0.00061966,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009585,           0.0009585,           0.0009585
                  21,             0.04041,           0.0014919,          0.00099953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00093,             0.00093,             0.00093
                  22,            0.039606,           0.0013678,          0.00052145,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0009015,           0.0009015,           0.0009015
                  23,             0.03875,            0.001391,          0.00060211,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000873,            0.000873,            0.000873
                  24,            0.040511,           0.0014134,           0.0010277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008445,           0.0008445,           0.0008445
                  25,            0.038523,           0.0014162,          0.00062436,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000816,            0.000816,            0.000816
                  26,            0.038972,           0.0014803,          0.00087474,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007875,           0.0007875,           0.0007875
                  27,            0.037716,           0.0013929,          0.00062575,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000759,            0.000759,            0.000759
                  28,            0.037911,           0.0013405,          0.00044355,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007305,           0.0007305,           0.0007305
                  29,            0.036981,           0.0013368,           0.0004859,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000702,            0.000702,            0.000702
                  30,             0.03612,           0.0013045,          0.00057155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006735,           0.0006735,           0.0006735
                  31,            0.035817,           0.0012662,          0.00028059,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000645,            0.000645,            0.000645
                  32,             0.03577,           0.0012849,          0.00034154,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006165,           0.0006165,           0.0006165
                  33,            0.035285,           0.0012829,          0.00046031,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000588,            0.000588,            0.000588
                  34,            0.034948,           0.0012644,          0.00051189,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0005595,           0.0005595,           0.0005595
                  35,            0.034052,           0.0012686,           0.0005325,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000531,            0.000531,            0.000531
                   0,             0.10469,             0.00457,            0.028305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.083654,          0.00024892,          0.00024892
                   1,            0.070463,           0.0040383,            0.010599,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.067228,          0.00048944,          0.00048944
                   2,            0.064193,           0.0033059,           0.0035152,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050793,          0.00072046,          0.00072046
                   3,            0.058197,           0.0025773,            0.001843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.034347,          0.00094198,          0.00094198
                   4,            0.056774,           0.0021873,           0.0015388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017893,            0.001154,            0.001154
                   5,            0.052649,           0.0018862,           0.0012746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014287,           0.0013565,           0.0013565
                   6,            0.051978,           0.0016355,           0.0010293,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   0,             0.10469,             0.00457,            0.028305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.083654,          0.00024892,          0.00024892
                   1,            0.070463,           0.0040383,            0.010599,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.067228,          0.00048944,          0.00048944
                   2,            0.064193,           0.0033059,           0.0035152,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050793,          0.00072046,          0.00072046
                   3,            0.058197,           0.0025773,            0.001843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.034347,          0.00094198,          0.00094198
                   4,            0.056774,           0.0021873,           0.0015388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017893,            0.001154,            0.001154
                   5,            0.052649,           0.0018862,           0.0012746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014287,           0.0013565,           0.0013565
                   6,            0.051978,           0.0016355,           0.0010293,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   7,            0.046317,           0.0013564,          0.00077589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001329,            0.001329,            0.001329
                   8,            0.048386,           0.0013365,          0.00072878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013005,           0.0013005,           0.0013005
                   9,            0.045366,           0.0012428,          0.00080819,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001272,            0.001272,            0.001272
